Inventory Report
-----------------------------------------------------------------------------------------------------------
Make+Model                     Description                    Part#             Price   Quantity      Value
-----------------------------------------------------------------------------------------------------------
Triumph+Tiger                  ASA-BOLT                       7129907049         2.25         19      42.75
Yamaha+Bolt                    ASA-BOLT                       7129907050         2.25        802   1,804.50
Honda+CB1100                   BALANCE ROD WITH ROCKER        1277702426       666.03          0       0.00
BMW+R75/5                      BALL PIN                       7147202359         3.49         20      69.80
Triumph+Tiger                  BEARING SHELL                  1277690501        40.95         18     737.10
Harley Davidson+Sportster      BELT PULLEY                    7727706466       512.92          1     512.92
Honda+CB1100                   BELT WHEEL, REAR               7727678299       569.65          2   1,139.30
Suzuki+V-Strom                 BELTGUARD BOTTOM INT           6628526813        41.52          6     249.12
Yamaha+Bolt                    BELTGUARD, BOTTOM EXT          6628526814        25.64         59   1,512.76
Ducati+Monster 696             BELTGUARD, TOP EXTERIOR        7727686588        27.73         39   1,081.47
Harley Davidson+Sportster      BINDING HEAD SCREW             6627711971         1.59       1038   1,650.42
Triumph+Tiger                  BOLT                           1277722182        89.54         10     895.40
Ducati+Monster 696             BOWDEN CAB ADJUSTMENT SCREW    32727678100       18.31         20     366.20
Harley Davidson+Sportster      BRACKET                        1427653150        40.95         48   1,965.60
BMW+R75/5                      BRACKET, GENERATOR REGULATOR   1317690871        28.62         34     973.08
Honda+CB1100                   BULB                           3217169203         5.15        114     587.10
Ducati+Monster 696             BUSHING                        3417680761         9.32        201   1,873.32
Yamaha+Bolt                    CIRCLIP                        7119901545         2.09        600   1,254.00
Ducati+Monster 696             CLAMP WITH MIRROR MOUNT        32728533246       30.02         44   1,320.88
Triumph+Tiger                  CLIP NUT                       1127070202         1.11        257     285.27
BMW+R75/5                      CLUTCH LEVER                   32727705606       99.72         17   1,695.24
Ducati+Monster 696             CLUTCH LEVER ASSEMBLY, ADJUS   32728523463      193.37          7   1,353.59
BMW+R75/5                      COLLAR BUSH                    6717700591        13.85         19     263.15
Yamaha+Bolt                    COLLAR SCREW                   7727689584         7.26          4      29.04
Suzuki+V-Strom                 CONNECTING ROD BEARING         1247690500        32.75         73   2,390.75
Yamaha+Bolt                    CONNECTING ROD BOLT            1277688360        17.81         82   1,460.42
Suzuki+V-Strom                 CONNECTING ROD BOLT            1247688359        15.76        167   2,631.92
Triumph+Tiger                  CONNECTING ROD WITH BUSHING    1248542008       178.35          6   1,070.10
Suzuki+V-Strom                 CONNECTION CABLE               1127699594        16.31         26     424.06
Honda+CB1100                   COUNTER NUT                    32727678101        7.15         15     107.25
Triumph+Tiger                  COUNTERSUNK HEAD SCREW         32727673989        5.34        262   1,399.08
Yamaha+Bolt                    COVER FOR FUEL PUMP            6147693055        28.64         36   1,031.04
Harley Davidson+Sportster      FEED PIPE                      6147708313        41.22         10     412.20
BMW+R75/5                      FILLISTER HEAD SCREW           1117653180         2.57       1134   2,914.38
